Source file name : SRR_trad.fasta
"threads : 4, available RAM : 12GB"


,wall clock,user time,system time,%CPU,,major page faults,minor page faults,swaps
KMC,0m08.72,26.74,2.76,338,,0,1451092,0
Gerbil,0m07.80,21.24,2.75,307,,0,186292,0
####################################################################################################
Bloomybloom
,wall_clock,user time,system time,%CPU,,major page faults,minor page faults,swaps,,non zero block rate,max block fill,average fill,median fill,,hash table non zeros,max block fill,average fill,median fill,,accuracy,skips
"minimizer_size : 11, size 8 589 934 592, block-size : 16 384, nb-blocks : 524 288, ht-size : 268 435 456, ht-block-size : 16 384, nb-ht_blocks : 16 384, no_hashtable : False, no_bloom : False"
,0m57.54,221.52,1.64,387,,0,878702,0,,0.5144,0.9998,0.0429,0.0177,,1,0.9533,0.0393,0.0358,,97.6%,_1 986
"minimizer_size : 11, size 8 589 934 592, block-size : 4 194 304, nb-blocks : 2 048, ht-size : 268 435 456, ht-block-size : 131 072, nb-ht_blocks : 2 048, no_hashtable : False, no_bloom : False"
"minimizer_size : 11, size 17 179 869 184, block-size : 4 194 304, nb-blocks : 4 096, ht-size : 268 435 456, ht-block-size : 131 072, nb-ht_blocks : 2 048, no_hashtable : False, no_bloom : False"
"minimizer_size : 11, size 17 179 869 184, block-size : 65 536, nb-blocks : 262 144, ht-size : 268 435 456, ht-block-size : 1 024, nb-ht_blocks : 262 144, no_hashtable : False, no_bloom : False"
